Year;Month;Day;Hour;Minute;Wind Speed daily mean;Wind Direction daily mean;Wind Speed daily max;Wind Speed daily min
2002;02;24;00;00;38.22;262.65;52.68;15.63
2002;02;25;00;00;24.99;232.49;39.34;16.55
2002;02;26;00;00;37.96;237.69;62.07;18.63
2002;02;27;00;00;22.93;243.64;30.48;8.57
2002;02;28;00;00;24.90;250.82;36.06;13.71
2002;03;01;00;00;9.05;148.71;18.14;1.26
2002;03;02;00;00;7.51;160.77;18.14;2.65
2002;03;03;00;00;4.81;227.48;7.23;2.93
2002;03;04;00;00;7.06;77.90;13.25;3.86
2002;03;05;00;00;3.58;88.17;5.17;0.89
2002;03;06;00;00;8.46;232.96;20.64;0.88
2002;03;07;00;00;17.53;252.64;23.48;5.35
2002;03;08;00;00;4.03;109.03;6.52;2.42
2002;03;09;00;00;11.74;236.26;22.47;3.46
2002;03;10;00;00;5.90;187.30;19.05;0.35
2002;03;11;00;00;7.80;166.38;16.44;2.70
2002;03;12;00;00;3.51;158.01;5.78;0.92
2002;03;13;00;00;3.76;138.66;5.20;2.01
2002;03;14;00;00;6.00;116.46;11.69;3.18
2002;03;15;00;00;2.80;163.60;6.60;1.33
2002;03;16;00;00;4.60;107.01;9.27;2.51
2002;03;17;00;00;4.00;199.72;6.95;1.26
2002;03;18;00;00;13.06;210.27;20.33;3.69
2002;03;19;00;00;22.65;242.20;32.81;19.17
2002;03;20;00;00;32.69;254.86;36.12;27.99
2002;03;21;00;00;23.93;257.19;30.16;13.02
2002;03;22;00;00;17.61;288.07;27.69;6.08
2002;03;23;00;00;8.68;121.49;11.25;6.77
2002;03;24;00;00;17.74;62.68;25.41;8.32
2002;03;25;00;00;18.32;69.15;26.35;6.65
2002;03;26;00;00;9.04;49.73;16.64;3.80
2002;03;27;00;00;14.66;59.90;25.01;5.90
2002;03;28;00;00;9.78;74.61;18.81;3.95
2002;03;29;00;00;2.72;122.17;4.89;0.81
2002;03;30;00;00;2.34;197.90;3.62;0.24
2002;03;31;00;00;3.48;218.78;4.66;1.21
2002;04;01;00;00;3.11;94.49;4.19;1.24
2002;04;02;00;00;6.42;93.67;10.58;2.57
2002;04;03;00;00;6.89;94.03;12.27;3.98
2002;04;04;00;00;7.83;71.48;15.78;3.18
2002;04;05;00;00;8.28;66.01;14.25;2.21
2002;04;06;00;00;17.57;68.26;26.59;8.16
2002;04;07;00;00;10.78;68.09;19.94;3.30
2002;04;08;00;00;6.33;58.04;11.00;2.59
2002;04;09;00;00;12.86;46.63;21.11;5.63
2002;04;10;00;00;16.44;58.08;24.06;7.47
2002;04;11;00;00;7.33;56.89;15.66;3.37
2002;04;12;00;00;6.86;100.28;11.97;1.61
2002;04;13;00;00;7.59;313.63;9.63;5.50
2002;04;14;00;00;12.03;285.95;18.19;6.63
2002;04;15;00;00;10.59;269.84;16.86;5.40
2002;04;16;00;00;15.05;254.85;28.41;6.24
2002;04;17;00;00;6.67;238.16;9.35;0.23
2002;04;18;00;00;8.47;215.35;25.85;4.14
2002;04;19;00;00;9.85;268.34;17.30;3.34
2002;04;20;00;00;7.46;224.47;14.94;4.72
2002;04;21;00;00;16.50;52.03;29.84;5.64
2002;04;22;00;00;9.52;46.65;16.34;2.18
2002;04;23;00;00;3.96;273.38;8.72;0.18
2002;04;24;00;00;4.39;307.75;6.92;0.86
2002;04;25;00;00;6.11;232.23;10.35;3.01
2002;04;26;00;00;18.84;235.53;30.36;3.56
2002;04;27;00;00;21.19;259.37;27.53;11.12
2002;04;28;00;00;23.24;226.90;44.79;8.12
2002;04;29;00;00;24.56;247.07;34.06;8.43
2002;04;30;00;00;8.75;201.03;13.69;4.68
2002;05;01;00;00;7.73;199.90;17.04;1.26
2002;05;02;00;00;8.03;305.04;12.28;4.86
2002;05;03;00;00;7.72;304.09;10.98;5.43
2002;05;04;00;00;6.72;266.03;12.82;3.99
2002;05;05;00;00;9.82;277.39;16.75;4.62
2002;05;06;00;00;8.50;98.77;21.16;0.18
2002;05;07;00;00;10.45;70.48;20.90;3.91
2002;05;08;00;00;4.98;85.09;10.23;2.53
2002;05;09;00;00;7.45;224.10;14.42;3.92
2002;05;10;00;00;3.99;261.72;8.00;2.56
2002;05;11;00;00;5.14;273.33;6.18;2.81
2002;05;12;00;00;7.66;272.67;11.25;4.84
2002;05;13;00;00;4.65;169.60;8.92;0.57
2002;05;14;00;00;9.74;244.46;16.63;4.25
2002;05;15;00;00;3.75;179.49;5.30;2.34
2002;05;16;00;00;3.23;185.97;4.87;1.05
2002;05;17;00;00;3.61;185.18;7.76;0.89
2002;05;18;00;00;10.11;275.13;16.80;6.76
2002;05;19;00;00;4.19;293.42;6.18;1.29
2002;05;20;00;00;6.38;106.24;12.54;1.96
2002;05;21;00;00;4.90;156.21;8.44;2.70
2002;05;22;00;00;4.42;124.54;6.99;1.51
